<details> <summary> <b>openwrt-passwall2 new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/Openwrt-Passwall/openwrt-passwall2/compare/59086a235f10b350fc9fd45aa38ac52168b8adc7...bb547ac49d845305a9df2d808c1d2f23ed7eaed3)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
bb547ac4|handsomeji|Thu Aug 20 23:17:25 2026 +0800|luci: bump to 26.8.20
d5ca4abd|Leone.Y|Thu Aug 20 23:15:13 2026 +0800|luci-app-passwall2: restart after NTP time becomes valid on RTC-less devices (#1229)
14646467|handsomeji|Thu Aug 20 23:12:03 2026 +0800|luci: server: sing-box add missing users code
ea9bd21d|handsomeji|Thu Aug 20 21:45:17 2026 +0800|luci: fix subscribe when use HWID
35f4b67e|A-BO|Wed Aug 19 10:15:49 2026 +0800|luci: optimize js luci cbi page redirect
af504f45|handsomeji|Wed Aug 19 18:14:30 2026 +0800|luci: fix and enhance monitor script
346baf69|handsomeji|Sun Aug 16 16:40:04 2026 +0800|luci: Xray `dokodemo-door` -> `tunnel`
8916e7fe|handsomeji|Mon Aug 17 00:17:33 2026 +0800|luci: bump to 26.8.17
05433144|handsomeji|Sun Aug 16 14:34:30 2026 +0800|Update README.md
a7dbff00|handsomeji|Sun Aug 16 15:22:22 2026 +0800|luci: socks sortable
cb25868e|handsomeji|Sun Aug 16 16:00:21 2026 +0800|luci: adjust delete node the socks logic
0b0e8ccf|handsomeji|Sun Aug 16 14:16:28 2026 +0800|luci: remove naive core
fe5e04c4|handsomeji|Sun Aug 16 14:54:37 2026 +0800|luci: fix node_subscribe_config edit
6684e6d1|handsomeji|Sat Aug 15 18:21:01 2026 +0800|luci: optimize code
59086a23|handsomeji|Sun Aug 16 22:36:38 2026 +0800|luci: fix #1224


</details>
